id,true_genre,kmeans_cluster,agglo_cluster
383545,rock,0,0
2515,rock,0,0
118637,rock,0,3
125250,rock,0,0
297542,rock,0,0
1188,rock,0,0
69900,rock,0,0
72119,rock,0,0
241361,rock,0,0
203027,rock,0,0
1638,rock,0,0
51271,rb,0,0
148,rb,0,0
32046,rb,0,0
51272,rb,0,0
6310,rb,0,0
32599,rb,0,0
3029,rb,0,0
398791,rb,0,0
1378,rb,0,0
3267,rb,0,0
97627,rb,0,0
53818,rb,0,0
229236,rb,0,0
67973,rb,0,0
329028,rb,0,0
90814,rb,0,0
501920,rb,0,0
152651,rb,3,4
110441,rb,0,0
73016,rb,0,0
2353,rb,0,0
185038,rb,0,0
1406,rb,0,0
95926,rb,0,0
54027,rb,0,0
168220,rb,0,0
77296,rb,0,0
105958,rb,0,0
6169,rb,0,0
71480,rb,0,0
117243,rb,0,0
6067222,rb,0,0
2196,rb,0,0
98954,rb,0,0
102388,rb,0,0
32545,rb,0,0
221752,rb,0,0
32254,rb,0,0
81109,rb,0,0
3764,rb,0,0
690634,rb,0,0
1236,rb,0,0
6170,rb,0,0
68183,rb,0,0
2294,rb,0,0
202598,rb,0,0
1847,rb,0,0
67974,rb,0,0
501279,rb,0,0
136365,rb,0,0
90809,rb,0,0
3096230,rb,0,0
5737,rb,0,0
32532,rb,0,0
75537,rb,0,0
32339,rb,0,0
92801,rb,0,0
32191,rb,0,0
83230,rb,0,0
3011062,rb,0,0
122502,rb,0,0
3239,rb,0,0
51650,rb,0,0
665639,rb,0,0
137603,rb,0,0
170602,rb,0,0
357649,rb,0,0
67366,rb,0,0
32963,rb,0,0
664,rb,0,0
100758,rb,0,0
32036,rb,0,0
1058,rb,0,0
32085,rb,0,0
579830,rb,0,0
524120,rb,0,0
32008,rb,0,0
141513,rb,0,0
460812,rb,0,0
5014,rb,0,0
100073,rb,0,0
873807,pop,0,0
4062,pop,0,0
1812,pop,0,0
953928,pop,0,0
55801,pop,0,0
744839,pop,0,0
76073,pop,0,0
865744,pop,0,0
743910,pop,0,0
5379,pop,0,0
353220,pop,0,0
54505,pop,0,0
371532,pop,0,0
862305,pop,0,0
566,pop,0,0
743793,pop,0,0
880875,pop,0,0
113006,pop,0,0
1589,pop,0,0
500868,pop,0,0
70047,pop,0,0
807904,pop,0,0
742867,pop,0,0
632449,pop,0,0
607314,pop,0,0
3330005,pop,0,0
135150,pop,0,0
31667,pop,0,0
2448905,pop,0,0
863369,pop,0,0
125684,pop,0,0
64434,pop,0,0
331146,pop,0,0
498286,pop,0,0
778964,pop,0,0
864929,pop,0,0
3366,pop,0,0
742449,pop,0,0
119367,pop,0,0
152823,pop,0,0
97789,pop,0,0
1189,pop,0,0
32097,pop,0,0
915938,pop,0,0
239242,pop,0,0
863110,pop,0,0
742366,pop,0,0
788916,pop,0,0
902554,pop,0,0
101491,pop,0,0
1170,pop,0,0
3540222,pop,0,0
76420,pop,0,0
185652,pop,0,0
866421,pop,0,0
81676,pop,0,0
32099,pop,0,0
742456,pop,0,0
71247,pop,0,0
743725,pop,0,0
873182,pop,0,0
742007,pop,0,0
85469,pop,0,0
103066,pop,0,0
637732,pop,0,0
866614,pop,0,0
863839,pop,0,0
933900,pop,0,0
75903,pop,0,0
88698,pop,0,0
2455011,pop,0,0
1846,pop,0,0
64759,pop,0,0
1436,pop,0,0
123101,pop,0,0
874013,pop,0,0
872541,pop,0,0
861835,pop,0,0
433665,pop,0,0
119682,pop,0,0
960911,pop,0,0
61990,pop,0,0
378873,pop,0,0
869396,pop,0,0
742669,pop,0,0
742948,pop,0,0
1862,pop,0,0
771874,pop,0,0
25987,pop,0,0
673203,pop,0,0
2820202,pop,0,0
847763,pop,0,0
209630,pop,0,0
955050,pop,0,0
3323849,pop,0,0
865556,pop,0,0
879622,pop,0,0
861731,pop,0,0
637912,pop,0,0
2209,pop,0,0
2313599,pop,0,0
82927,pop,0,0
442202,pop,4,0
1913,pop,0,0
639993,pop,0,0
116343,pop,0,0
863084,pop,0,0
963891,pop,0,0
4545,pop,0,0
383710,pop,0,0
513427,pop,0,0
442203,pop,0,0
865581,pop,0,0
209486,pop,0,0
881917,pop,0,0
498281,pop,0,0
58354,pop,0,0
120185,pop,0,0
292980,pop,0,0
1313,pop,0,0
861773,pop,0,0
804460,pop,0,0
1629,pop,0,0
744786,pop,0,0
116342,pop,0,0
85486,pop,0,0
507458,pop,0,0
861349,pop,0,0
742860,pop,0,0
864523,pop,0,0
2068159,pop,0,0
868020,pop,0,0
673210,pop,0,0
100856,pop,0,0
67962,pop,0,0
973872,pop,0,0
104685,pop,0,0
234875,pop,0,0
862720,pop,0,0
872581,pop,0,0
67284,pop,0,0
2526,pop,0,0
235171,pop,0,0
146697,pop,0,0
66157,pop,0,0
441183,pop,0,0
2289661,pop,0,0
864235,pop,0,0
480214,pop,0,0
154508,pop,0,0
717420,pop,0,0
93347,pop,0,0
866637,pop,0,0
506000,pop,0,0
866771,pop,0,0
487689,pop,0,0
3319684,pop,0,0
871373,pop,0,0
863565,pop,0,0
866393,pop,0,0
180982,pop,0,0
5292,pop,0,0
1644,pop,0,0
762847,pop,0,0
513964,pop,0,0
865664,pop,0,0
122199,pop,0,0
493898,pop,0,0
762503,pop,0,0
743829,pop,0,0
898624,pop,0,0
2433184,pop,0,0
862164,pop,0,0
881916,pop,0,0
196714,pop,0,0
353597,pop,0,0
61870,rap,0,0
19186,rap,0,0
6818717,rap,0,0
1742696,rap,0,0
55528,rap,0,0
223,rap,0,0
3877177,rap,0,0
4040,rap,0,0
4924234,rap,0,0
144248,rap,0,0
225,rap,0,0
3719686,rap,0,0
150328,rap,0,0
548,rap,0,0
5562,rap,0,0
5156,rap,0,0
23372,rap,0,0
25598,rap,0,0
428,rap,0,0
116476,rap,0,0
2118,rap,0,0
2711,rap,0,0
2035837,rap,0,0
1146,rap,0,0
1519,rap,0,0
6067276,rap,0,0
494640,rap,0,0
5030,rap,0,0
99957,rap,0,0
3306513,rap,0,0
357,rap,0,0
31804,rap,0,0
2390931,rap,0,0
618,rap,0,0
5718,rap,0,0
309,rap,0,0
500,rap,0,0
6067176,rap,0,0
335,rap,0,0
2835442,rap,0,0
14,rap,0,0
2878618,rap,0,0
4299,rap,0,0
2855118,rap,0,0
4232,rap,0,0
96,rap,0,0
61019,rap,0,0
2468012,rap,0,0
49498,rap,0,0
4424,rap,0,0
699731,rap,0,0
97378,rap,0,0
3004920,rap,0,0
14478,rap,0,0
132118,rap,0,0
4,rap,0,0
2433,rap,0,0
931,rap,0,0
2457553,rap,0,0
299,rap,0,0
1801,rap,0,0
934,rap,0,0
64416,rap,0,0
32136,rap,0,0
61386,rap,0,0
348,rap,0,0
3119,rap,0,0
2391225,rap,0,0
706,rap,0,0
2304,rap,0,0
6189,rap,0,0
238,rap,0,0
4924232,rap,0,0
95,rap,1,1
289,rap,0,0
1348,rap,0,0
2425,rap,0,0
152,rap,0,0
291,rap,0,0
150954,rap,0,0
3783,rap,0,0
32218,rap,0,0
81625,rap,0,0
2477318,rap,0,0
50813,rap,0,0
1826,rap,0,0
6003,rap,0,0
257,rap,0,0
4787734,rap,0,0
12805,rap,0,0
1414,rap,0,0
25309,rap,0,0
136,rap,0,0
1260,rap,0,0
64807,rap,0,0
9,rap,0,0
3016,rap,0,0
3911533,rap,0,0
2468,rap,0,0
3647940,rap,0,0
946,rap,0,0
33097,rap,0,0
1505,rap,0,0
24887,rap,0,0
936,rap,0,0
25507,rap,0,0
53859,rap,0,0
2900608,rap,0,0
3574904,rap,0,0
345854,rap,0,0
1530,rap,0,0
772,rap,0,0
152409,rap,0,0
630,rap,0,0
71924,rap,0,0
17476,rap,0,0
2379,rap,0,0
4289156,rap,0,0
4084606,rap,0,0
988,rap,0,0
2832,rap,0,0
162588,rap,0,0
901,rap,0,0
71,rap,0,0
911618,rap,0,0
724261,rap,0,0
2426,rap,0,0
2936375,rap,0,0
623,rap,0,0
359,rap,0,0
12806,rap,0,0
2334,rap,0,0
1781355,rap,0,0
3228840,rap,0,0
3777,rap,0,0
2698,rap,0,0
38,rap,0,0
1791398,rap,0,0
175453,rap,0,0
168255,rap,0,0
244,rap,0,0
7551,rap,0,0
93,rap,0,0
749505,rap,0,0
116754,rap,0,0
2138830,rap,0,0
25116,rap,0,0
72835,rap,0,0
46663,rap,0,0
49110,rap,0,0
653140,rap,0,0
3030360,rap,0,0
2446,rap,0,0
25115,rap,0,0
39021,rap,0,0
2939132,rap,0,0
158365,rap,0,0
2605,rap,0,0
3658814,rap,0,0
3647937,rap,0,0
2875496,rap,0,0
4353573,rap,0,0
32028,rap,0,0
99996,rap,0,0
59369,rap,0,0
536,rap,0,0
663,rap,0,0
2939210,rap,0,0
25493,rap,0,0
3825,rap,0,0
3970,rap,0,0
10,rap,0,0
419,rap,0,0
433654,rap,0,0
51956,rap,0,0
198724,rap,0,0
49687,rap,0,0
4353580,rap,0,0
72152,rap,0,0
1046,rap,0,0
2939243,rap,0,0
151,rap,0,0
149,rap,0,0
322,rap,0,0
1602,rap,0,0
2862917,rap,0,0
280,rap,0,0
15,rap,0,0
32976,rap,0,0
2291776,rap,0,0
3707,rap,0,0
4034,rap,0,0
719991,rap,0,0
3719653,rap,0,0
5342,rap,0,0
3077616,rap,0,0
25508,rap,0,0
