id,true_genre,beta_vae_kmeans,beta_vae_agglo,beta_vae_dbscan
74304,rock,4,1,0
662405,rock,1,1,0
87291,rock,0,1,0
71389,rock,1,1,0
259116,rock,2,2,0
100761,rock,2,3,0
210698,rock,1,1,0
223016,rock,3,0,0
212843,rock,4,4,0
2415164,rock,3,2,0
668212,rock,4,1,0
232537,rock,0,1,0
105014,rock,3,0,0
128009,rock,2,2,0
120569,rock,0,1,0
442368,rock,0,1,0
401533,rock,2,2,0
2352,rock,0,3,0
359887,rock,1,1,0
50590,rock,0,1,0
172574,rock,0,1,0
132089,rock,2,2,0
219437,rock,4,4,0
152169,rock,0,3,0
111525,rock,1,1,0
728884,rock,0,2,0
90842,rock,3,0,0
2907,rock,1,1,0
362381,rock,0,3,0
31963,rock,0,1,0
200241,rock,1,1,0
88903,rock,2,2,0
86317,rock,0,1,0
95287,rock,4,4,0
141375,rock,2,0,0
79891,rock,0,1,0
71931,rock,2,2,0
201800,rock,1,1,0
884877,rock,4,4,0
3555,rock,2,2,0
69205,rock,4,4,0
742606,rock,4,2,0
86120,rock,2,2,0
874889,rock,0,3,0
862646,rock,4,1,0
50647,rock,0,1,0
108489,rock,2,2,0
2770,rock,0,2,0
1767,rock,1,1,0
195716,rock,3,2,0
55302,rock,4,2,0
215279,rock,1,1,0
118635,rock,1,1,0
661190,rock,1,1,0
108565,rock,1,1,0
63338,rock,0,1,0
88410,rock,4,2,0
136361,rock,2,2,0
383545,rock,0,1,0
2515,rock,3,2,0
118637,rock,4,4,0
125250,rock,2,2,0
297542,rock,0,3,0
1188,rock,1,1,0
69900,rock,2,2,0
72119,rock,1,1,0
241361,rock,2,2,0
203027,rock,1,4,0
1638,rock,4,4,0
51271,rb,2,2,0
148,rb,2,2,0
32046,rb,0,1,0
51272,rb,2,2,0
6310,rb,0,3,0
32599,rb,2,2,0
3029,rb,1,1,0
398791,rb,2,2,0
1378,rb,0,1,0
3267,rb,1,1,0
97627,rb,2,2,0
53818,rb,0,1,0
229236,rb,2,2,0
67973,rb,1,1,0
329028,rb,2,2,0
90814,rb,4,4,0
501920,rb,4,2,0
152651,rb,3,2,0
110441,rb,4,4,0
73016,rb,0,3,0
2353,rb,2,2,0
185038,rb,4,4,0
1406,rb,3,0,0
95926,rb,2,2,0
54027,rb,0,3,0
168220,rb,4,4,0
77296,rb,2,2,0
105958,rb,2,2,0
6169,rb,2,3,0
71480,rb,3,2,0
117243,rb,2,2,0
6067222,rb,3,0,0
2196,rb,4,4,0
98954,rb,4,4,0
102388,rb,2,2,0
32545,rb,1,1,0
221752,rb,4,2,0
32254,rb,0,1,0
81109,rb,2,2,0
3764,rb,2,2,0
690634,rb,1,1,0
1236,rb,2,2,0
6170,rb,1,1,0
68183,rb,0,3,0
2294,rb,0,1,0
202598,rb,4,2,0
1847,rb,4,4,0
67974,rb,4,4,0
501279,rb,2,2,0
136365,rb,0,1,0
90809,rb,4,1,0
3096230,rb,4,2,0
5737,rb,1,1,0
32532,rb,4,4,0
75537,rb,0,2,0
32339,rb,0,3,0
92801,rb,4,2,0
32191,rb,2,0,0
83230,rb,4,2,0
3011062,rb,2,2,0
122502,rb,0,3,0
3239,rb,2,2,0
51650,rb,4,2,0
665639,rb,1,1,0
137603,rb,3,0,0
170602,rb,3,0,0
357649,rb,2,2,0
67366,rb,1,1,0
32963,rb,1,1,0
664,rb,0,1,0
100758,rb,2,2,0
32036,rb,0,2,0
1058,rb,2,2,0
32085,rb,0,3,0
579830,rb,0,1,0
524120,rb,2,0,0
32008,rb,1,1,0
141513,rb,2,2,0
460812,rb,2,2,0
5014,rb,0,1,0
100073,rb,3,0,0
873807,pop,4,4,0
4062,pop,1,1,0
1812,pop,0,4,0
953928,pop,0,1,0
55801,pop,4,4,0
744839,pop,2,2,0
76073,pop,1,1,0
865744,pop,2,2,0
743910,pop,4,4,0
5379,pop,4,4,0
353220,pop,2,2,0
54505,pop,4,2,0
371532,pop,2,0,0
862305,pop,1,1,0
566,pop,4,2,0
743793,pop,4,4,0
880875,pop,2,2,0
113006,pop,4,4,0
1589,pop,4,4,0
500868,pop,2,2,0
70047,pop,2,2,0
807904,pop,0,3,0
742867,pop,2,2,0
632449,pop,3,0,0
607314,pop,4,4,0
3330005,pop,4,4,0
135150,pop,4,4,0
31667,pop,2,2,0
2448905,pop,4,2,0
863369,pop,4,2,0
125684,pop,4,2,0
64434,pop,2,2,0
331146,pop,2,2,0
498286,pop,3,2,0
778964,pop,4,2,0
864929,pop,0,3,0
3366,pop,2,2,0
742449,pop,0,3,0
119367,pop,1,1,0
152823,pop,2,2,0
97789,pop,0,1,0
1189,pop,1,1,0
32097,pop,0,3,0
915938,pop,4,1,0
239242,pop,2,2,0
863110,pop,0,3,0
742366,pop,4,2,0
788916,pop,4,4,0
902554,pop,4,4,0
101491,pop,2,0,0
1170,pop,1,4,0
3540222,pop,2,2,0
76420,pop,4,2,0
185652,pop,4,2,0
866421,pop,2,2,0
81676,pop,0,2,0
32099,pop,2,3,0
742456,pop,4,4,0
71247,pop,4,2,0
743725,pop,1,1,0
873182,pop,4,4,0
742007,pop,1,1,0
85469,pop,2,2,0
103066,pop,3,0,0
637732,pop,2,2,0
866614,pop,2,2,0
863839,pop,0,3,0
933900,pop,3,0,0
75903,pop,2,2,0
88698,pop,0,3,0
2455011,pop,2,2,0
1846,pop,4,4,0
64759,pop,3,0,0
1436,pop,3,0,0
123101,pop,4,2,0
874013,pop,4,2,0
872541,pop,0,2,0
861835,pop,2,0,0
433665,pop,1,1,0
119682,pop,1,1,0
960911,pop,4,4,0
61990,pop,4,2,0
378873,pop,0,2,0
869396,pop,4,2,0
742669,pop,2,2,0
742948,pop,1,1,0
1862,pop,4,2,0
771874,pop,0,3,0
25987,pop,2,2,0
673203,pop,4,1,0
2820202,pop,1,1,0
847763,pop,4,4,0
209630,pop,4,2,0
955050,pop,0,1,0
3323849,pop,2,2,0
865556,pop,0,2,0
879622,pop,2,2,0
861731,pop,2,2,0
637912,pop,2,2,0
2209,pop,1,1,0
2313599,pop,4,2,0
82927,pop,2,2,0
442202,pop,2,2,0
1913,pop,4,2,0
639993,pop,0,3,0
116343,pop,0,4,0
863084,pop,1,1,0
963891,pop,4,4,0
4545,pop,2,2,0
383710,pop,0,3,0
513427,pop,1,4,0
442203,pop,4,4,0
865581,pop,2,2,0
209486,pop,4,2,0
881917,pop,0,2,0
498281,pop,2,2,0
58354,pop,2,2,0
120185,pop,3,2,0
292980,pop,0,1,0
1313,pop,2,2,0
861773,pop,0,3,0
804460,pop,4,4,0
1629,pop,4,2,0
744786,pop,3,2,0
116342,pop,4,2,0
85486,pop,1,1,0
507458,pop,2,2,0
861349,pop,2,2,0
742860,pop,4,4,0
864523,pop,4,2,0
2068159,pop,1,4,0
868020,pop,3,0,0
673210,pop,4,4,0
100856,pop,4,2,0
67962,pop,2,2,0
973872,pop,2,2,0
104685,pop,0,3,0
234875,pop,3,0,0
862720,pop,4,4,0
872581,pop,2,2,0
67284,pop,2,2,0
2526,pop,4,2,0
235171,pop,0,2,0
146697,pop,0,1,0
66157,pop,2,2,0
441183,pop,1,1,0
2289661,pop,2,2,0
864235,pop,4,4,0
480214,pop,1,1,0
154508,pop,1,1,0
717420,pop,0,3,0
93347,pop,2,2,0
866637,pop,2,0,0
506000,pop,2,0,0
866771,pop,2,2,0
487689,pop,4,2,0
3319684,pop,4,2,0
871373,pop,4,2,0
863565,pop,4,4,0
866393,pop,4,4,0
180982,pop,3,2,0
5292,pop,3,0,0
1644,pop,0,2,0
762847,pop,2,2,0
513964,pop,0,1,0
865664,pop,1,1,0
122199,pop,2,0,0
493898,pop,1,1,0
762503,pop,0,2,0
743829,pop,1,1,0
898624,pop,3,0,0
2433184,pop,1,1,0
862164,pop,2,2,0
881916,pop,3,0,0
196714,pop,0,3,0
353597,pop,4,4,0
61870,rap,1,1,0
19186,rap,1,1,0
6818717,rap,4,4,0
1742696,rap,2,3,0
55528,rap,1,1,0
223,rap,1,1,0
3877177,rap,0,4,0
4040,rap,0,1,0
4924234,rap,2,2,0
144248,rap,0,4,0
225,rap,1,1,0
3719686,rap,0,2,0
150328,rap,2,2,0
548,rap,3,0,0
5562,rap,0,4,0
5156,rap,4,4,0
23372,rap,1,1,0
25598,rap,0,4,0
428,rap,4,2,0
116476,rap,2,2,0
2118,rap,4,2,0
2711,rap,4,4,0
2035837,rap,1,1,0
1146,rap,4,2,0
1519,rap,1,1,0
6067276,rap,4,4,0
494640,rap,0,2,0
5030,rap,1,1,0
99957,rap,1,1,0
3306513,rap,2,2,0
357,rap,4,4,0
31804,rap,1,4,0
2390931,rap,0,3,0
618,rap,1,1,0
5718,rap,0,3,0
309,rap,2,2,0
500,rap,2,2,0
6067176,rap,4,2,0
335,rap,0,3,0
2835442,rap,4,4,0
14,rap,2,2,0
2878618,rap,0,1,0
4299,rap,2,0,0
2855118,rap,0,3,0
4232,rap,2,2,0
96,rap,2,2,0
61019,rap,0,3,0
2468012,rap,1,1,0
49498,rap,1,1,0
4424,rap,4,4,0
699731,rap,2,2,0
97378,rap,1,1,0
3004920,rap,1,1,0
14478,rap,2,2,0
132118,rap,4,2,0
4,rap,0,2,0
2433,rap,0,2,0
931,rap,4,4,0
2457553,rap,1,1,0
299,rap,0,3,0
1801,rap,4,4,0
934,rap,1,1,0
64416,rap,0,4,0
32136,rap,0,2,0
61386,rap,1,1,0
348,rap,4,4,0
3119,rap,4,4,0
2391225,rap,0,3,0
706,rap,4,4,0
2304,rap,1,1,0
6189,rap,2,2,0
238,rap,2,2,0
4924232,rap,4,2,0
95,rap,0,3,0
289,rap,4,4,0
1348,rap,1,1,0
2425,rap,2,2,0
152,rap,0,3,0
291,rap,4,2,0
150954,rap,4,4,0
3783,rap,2,2,0
32218,rap,1,1,0
81625,rap,2,2,0
2477318,rap,4,2,0
50813,rap,1,4,0
1826,rap,0,1,0
6003,rap,1,1,0
257,rap,0,1,0
4787734,rap,1,1,0
12805,rap,2,2,0
1414,rap,1,4,0
25309,rap,0,3,0
136,rap,4,2,0
1260,rap,1,4,0
64807,rap,1,1,0
9,rap,1,1,0
3016,rap,0,3,0
3911533,rap,1,1,0
2468,rap,1,1,0
3647940,rap,4,2,0
946,rap,0,1,0
33097,rap,1,1,0
1505,rap,1,1,0
24887,rap,4,4,0
936,rap,0,3,0
25507,rap,1,1,0
53859,rap,2,2,0
2900608,rap,2,2,0
3574904,rap,1,1,0
345854,rap,4,2,0
1530,rap,4,2,0
772,rap,0,3,0
152409,rap,4,3,0
630,rap,4,2,0
71924,rap,4,4,0
17476,rap,1,1,0
2379,rap,0,3,0
4289156,rap,2,2,0
4084606,rap,1,1,0
988,rap,1,1,0
2832,rap,1,1,0
162588,rap,2,2,0
901,rap,2,2,0
71,rap,0,3,0
911618,rap,4,2,0
724261,rap,4,4,0
2426,rap,0,1,0
2936375,rap,2,2,0
623,rap,2,2,0
359,rap,4,4,0
12806,rap,2,2,0
2334,rap,1,1,0
1781355,rap,0,1,0
3228840,rap,2,2,0
3777,rap,3,2,0
2698,rap,1,1,0
38,rap,0,3,0
1791398,rap,1,1,0
175453,rap,0,3,0
168255,rap,1,1,0
244,rap,2,2,0
7551,rap,4,4,0
93,rap,0,3,0
749505,rap,0,1,0
116754,rap,1,1,0
2138830,rap,4,2,0
25116,rap,3,0,0
72835,rap,0,2,0
46663,rap,4,4,0
49110,rap,4,1,0
653140,rap,2,2,0
3030360,rap,1,1,0
2446,rap,1,4,0
25115,rap,1,4,0
39021,rap,4,4,0
2939132,rap,0,2,0
158365,rap,2,2,0
2605,rap,4,4,0
3658814,rap,4,4,0
3647937,rap,1,4,0
2875496,rap,1,1,0
4353573,rap,1,1,0
32028,rap,2,2,0
99996,rap,1,1,0
59369,rap,1,1,0
536,rap,1,1,0
663,rap,0,2,0
2939210,rap,4,4,0
25493,rap,1,1,0
3825,rap,2,2,0
3970,rap,1,1,0
10,rap,1,1,0
419,rap,4,4,0
433654,rap,1,1,0
51956,rap,0,4,0
198724,rap,2,0,0
49687,rap,4,1,0
4353580,rap,2,2,0
72152,rap,1,1,0
1046,rap,0,1,0
2939243,rap,0,3,0
151,rap,2,3,0
149,rap,1,1,0
322,rap,2,0,0
1602,rap,4,2,0
2862917,rap,1,1,0
280,rap,2,2,0
15,rap,0,3,0
32976,rap,4,2,0
2291776,rap,4,4,0
3707,rap,3,0,0
4034,rap,4,2,0
719991,rap,4,2,0
3719653,rap,1,1,0
5342,rap,0,2,0
3077616,rap,1,1,0
25508,rap,1,1,0
